iter	Passed	Remaining
0	58	58738
1	72	36047
2	83	27850
3	98	24605
4	114	22782
5	127	21160
6	143	20324
7	156	19402
8	169	18632
9	182	18032
10	195	17576
11	209	17278
12	224	17017
13	238	16788
14	253	16677
15	283	17450
16	314	18166
17	343	18728
18	365	18867
19	384	18851
20	398	18594
21	459	20433
22	478	20333
23	494	20128
24	523	20398
25	550	20629
26	575	20746
27	600	20862
28	639	21409
29	669	21650
30	701	21912
31	734	22218
32	762	22332
33	788	22391
34	834	23020
35	878	23531
36	914	23814
37	940	23814
38	961	23703
39	1001	24042
40	1048	24533
41	1084	24731
42	1109	24693
43	1124	24426
44	1147	24357
45	1165	24176
46	1185	24037
47	1198	23766
48	1215	23591
49	1231	23399
50	1275	23730
51	1315	23988
52	1355	24213
53	1382	24210
54	1445	24844
55	1489	25116
56	1539	25474
57	1589	25816
58	1624	25914
59	1650	25854
60	1671	25724
61	1708	25854
62	1753	26072
63	1767	25844
64	1780	25618
65	1810	25619
66	1857	25869
67	1878	25750
68	1910	25772
69	1927	25613
70	1943	25430
71	1972	25420
72	2000	25400
73	2018	25257
74	2038	25145
75	2068	25152
76	2107	25261
77	2147	25387
78	2182	25448
79	2216	25490
80	2243	25448
81	2265	25358
82	2283	25233
83	2307	25164
84	2322	24998
85	2345	24928
86	2360	24776
87	2380	24672
88	2397	24543
89	2410	24377
90	2424	24219
91	2441	24100
92	2477	24164
93	2502	24118
94	2518	23993
95	2551	24024
96	2583	24051
97	2607	23999
98	2632	23954
99	2657	23915
100	2680	23861
101	2703	23802
102	2716	23655
103	2731	23532
104	2743	23385
105	2761	23286
106	2778	23187
107	2806	23180
108	2836	23187
109	2858	23129
110	2883	23095
111	2902	23015
112	2926	22968
113	2940	22857
114	2971	22866
115	2989	22783
116	3020	22792
117	3055	22838
118	3083	22831
119	3104	22765
120	3121	22673
121	3138	22585
122	3161	22544
123	3181	22477
124	3194	22362
125	3206	22240
126	3220	22140
127	3251	22148
128	3279	22145
129	3304	22116
130	3341	22166
131	3366	22135
132	3397	22145
133	3413	22062
134	3447	22086
135	3501	22242
136	3548	22355
137	3577	22344
138	3613	22380
139	3641	22367
140	3663	22317
141	3699	22355
142	3727	22338
143	3753	22311
144	3777	22272
145	3805	22260
146	3826	22205
147	3859	22218
148	3891	22226
149	3923	22232
150	3942	22166
151	3960	22093
152	3980	22035
153	4001	21981
154	4021	21923
155	4037	21846
156	4069	21853
157	4097	21834
158	4131	21852
159	4152	21801
160	4169	21726
161	4188	21668
162	4208	21609
163	4223	21528
